ts,src_ip,src_port,dst_ip,dst_port,proto,duration,orig_bytes,resp_bytes,ts_datetime,ts_datetime_norm,ts_datetime_norm_rounded,Label,Event_IDs
1757931039.10662,192.168.3.10,53744,192.168.2.23,1515,tcp,0.003631,506,1993,2025-09-15 10:10:39.106620073,2025-09-15 12:10:39.106620073,2025-09-15 12:10:39,benign,
1757931070.677213,192.168.0.10,35084,192.168.2.10,135,tcp,0.000297,0,0,2025-09-15 10:11:10.677212954,2025-09-15 12:11:10.677212954,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677244,192.168.0.10,53872,192.168.2.20,22,tcp,0.000288,0,0,2025-09-15 10:11:10.677243948,2025-09-15 12:11:10.677243948,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677255,192.168.0.10,34644,192.168.2.10,443,tcp,0.000374,0,0,2025-09-15 10:11:10.677254915,2025-09-15 12:11:10.677254915,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677311,192.168.0.10,38112,192.168.2.20,80,tcp,0.000391,0,0,2025-09-15 10:11:10.677310944,2025-09-15 12:11:10.677310944,2025-09-15 12:11:11,TCPScanEvent,"1086,1087,1090,1115,1117"
1757931070.677325,192.168.0.10,49344,192.168.2.10,445,tcp,0.000421,0,0,2025-09-15 10:11:10.677325010,2025-09-15 12:11:10.677325010,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677349,192.168.0.10,60808,192.168.2.10,2222,tcp,0.000432,0,0,2025-09-15 10:11:10.677349091,2025-09-15 12:11:10.677349091,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677582,192.168.0.10,47556,192.168.2.10,3306,tcp,0.000396,0,0,2025-09-15 10:11:10.677582026,2025-09-15 12:11:10.677582026,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677584,192.168.0.10,38622,192.168.2.20,135,tcp,0.000414,0,0,2025-09-15 10:11:10.677583933,2025-09-15 12:11:10.677583933,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677661,192.168.0.10,55032,192.168.2.20,443,tcp,0.000359,0,0,2025-09-15 10:11:10.677660942,2025-09-15 12:11:10.677660942,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677666,192.168.0.10,37644,192.168.2.10,3389,tcp,0.000371,0,0,2025-09-15 10:11:10.677665949,2025-09-15 12:11:10.677665949,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.6777,192.168.0.10,50226,192.168.2.20,445,tcp,0.000393,0,0,2025-09-15 10:11:10.677700043,2025-09-15 12:11:10.677700043,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677793,192.168.0.10,37782,192.168.2.10,5985,tcp,0.000324,0,0,2025-09-15 10:11:10.677793026,2025-09-15 12:11:10.677793026,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.67798,192.168.0.10,46728,192.168.2.20,2222,tcp,0.000268,0,0,2025-09-15 10:11:10.677979946,2025-09-15 12:11:10.677979946,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678044,192.168.0.10,44724,192.168.2.10,5986,tcp,0.000225,0,0,2025-09-15 10:11:10.678044081,2025-09-15 12:11:10.678044081,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678092,192.168.0.10,40856,192.168.2.20,3306,tcp,0.000217,0,0,2025-09-15 10:11:10.678092003,2025-09-15 12:11:10.678092003,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678179,192.168.0.10,43500,192.168.2.20,3389,tcp,0.000274,0,0,2025-09-15 10:11:10.678179026,2025-09-15 12:11:10.678179026,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678195,192.168.0.10,60568,192.168.2.10,7001,tcp,0.000278,0,0,2025-09-15 10:11:10.678195000,2025-09-15 12:11:10.678195000,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678226,192.168.0.10,55168,192.168.2.10,8008,tcp,0.000287,0,0,2025-09-15 10:11:10.678225994,2025-09-15 12:11:10.678225994,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678227,192.168.0.10,51426,192.168.2.20,5985,tcp,0.000302,0,0,2025-09-15 10:11:10.678226948,2025-09-15 12:11:10.678226948,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678376,192.168.0.10,40086,192.168.2.10,8080,tcp,0.000328,0,0,2025-09-15 10:11:10.678375959,2025-09-15 12:11:10.678375959,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678388,192.168.0.10,51514,192.168.2.20,5986,tcp,0.000346,0,0,2025-09-15 10:11:10.678388119,2025-09-15 12:11:10.678388119,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678396,192.168.0.10,60522,192.168.2.10,8088,tcp,0.000391,0,0,2025-09-15 10:11:10.678395987,2025-09-15 12:11:10.678395987,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678412,192.168.0.10,59536,192.168.2.10,8983,tcp,0.000392,0,0,2025-09-15 10:11:10.678411961,2025-09-15 12:11:10.678411961,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678412,192.168.0.10,43530,192.168.2.20,7001,tcp,0.000406,0,0,2025-09-15 10:11:10.678411961,2025-09-15 12:11:10.678411961,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678493,192.168.0.10,48744,192.168.2.20,8008,tcp,0.000406,0,0,2025-09-15 10:11:10.678493023,2025-09-15 12:11:10.678493023,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678592,192.168.0.10,45694,192.168.2.20,8088,tcp,0.000379,0,0,2025-09-15 10:11:10.678591967,2025-09-15 12:11:10.678591967,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678615,192.168.0.10,35652,192.168.2.20,8983,tcp,0.000372,0,0,2025-09-15 10:11:10.678615093,2025-09-15 12:11:10.678615093,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931073.603724,192.168.0.10,35032,192.168.3.10,135,tcp,7.7e-05,0,0,2025-09-15 10:11:13.603724003,2025-09-15 12:11:13.603724003,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603781,192.168.0.10,39858,192.168.3.10,443,tcp,0.00012,0,0,2025-09-15 10:11:13.603780985,2025-09-15 12:11:13.603780985,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603819,192.168.0.10,36496,192.168.3.10,445,tcp,0.000113,0,0,2025-09-15 10:11:13.603818893,2025-09-15 12:11:13.603818893,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603843,192.168.0.10,34722,192.168.3.10,2222,tcp,0.000203,0,0,2025-09-15 10:11:13.603842974,2025-09-15 12:11:13.603842974,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603865,192.168.0.10,53110,192.168.3.10,3306,tcp,0.000246,0,0,2025-09-15 10:11:13.603864908,2025-09-15 12:11:13.603864908,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603887,192.168.0.10,34738,192.168.3.10,3389,tcp,0.000269,0,0,2025-09-15 10:11:13.603887081,2025-09-15 12:11:13.603887081,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.60391,192.168.0.10,46486,192.168.3.10,5985,tcp,0.000294,0,0,2025-09-15 10:11:13.603909969,2025-09-15 12:11:13.603909969,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603932,192.168.0.10,56354,192.168.3.10,5986,tcp,0.000353,0,0,2025-09-15 10:11:13.603931904,2025-09-15 12:11:13.603931904,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603953,192.168.0.10,58582,192.168.3.10,7001,tcp,0.000376,0,0,2025-09-15 10:11:13.603952885,2025-09-15 12:11:13.603952885,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603975,192.168.0.10,33142,192.168.3.10,8008,tcp,0.000395,0,0,2025-09-15 10:11:13.603975058,2025-09-15 12:11:13.603975058,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.603995,192.168.0.10,39102,192.168.3.10,8080,tcp,0.000395,0,0,2025-09-15 10:11:13.603995085,2025-09-15 12:11:13.603995085,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.604021,192.168.0.10,52332,192.168.3.10,8088,tcp,0.000385,0,0,2025-09-15 10:11:13.604021072,2025-09-15 12:11:13.604021072,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931073.604041,192.168.0.10,33546,192.168.3.10,8983,tcp,0.00038,0,0,2025-09-15 10:11:13.604041100,2025-09-15 12:11:13.604041100,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931070.677092,192.168.0.10,50810,192.168.2.10,80,tcp,3.002823,0,0,2025-09-15 10:11:10.677092075,2025-09-15 12:11:10.677092075,2025-09-15 12:11:11,TCPScanEvent,"1084,1085,1088,1089,1114,1118"
1757931070.677063,192.168.0.10,46786,192.168.2.10,22,tcp,3.003332,0,41,2025-09-15 10:11:10.677062988,2025-09-15 12:11:10.677062988,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931073.684042,192.168.0.10,48036,192.168.2.10,80,tcp,0.004319,517,406,2025-09-15 10:11:13.684041977,2025-09-15 12:11:13.684041977,2025-09-15 12:11:14,TCPScanEvent,"1084,1085,1088,1089,1114,1118"
1757931073.69289,192.168.0.10,48042,192.168.2.10,80,tcp,0.002379,144,281,2025-09-15 10:11:13.692889929,2025-09-15 12:11:13.692889929,2025-09-15 12:11:14,TCPScanEvent,"1084,1085,1088,1089,1114,1118"
1757931070.678539,192.168.0.10,60932,192.168.2.20,8080,tcp,3.024339,0,0,2025-09-15 10:11:10.678539038,2025-09-15 12:11:10.678539038,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931073.685887,192.168.0.10,52800,192.168.2.20,8080,tcp,0.037693,517,2320,2025-09-15 10:11:13.685887098,2025-09-15 12:11:13.685887098,2025-09-15 12:11:14,TCPScanEvent,"1115,1117"
1757931073.726253,192.168.0.10,52804,192.168.2.20,8080,tcp,1.089414,149,235,2025-09-15 10:11:13.726253033,2025-09-15 12:11:13.726253033,2025-09-15 12:11:14,TCPScanEvent,"1115,1117"
1757931073.603563,192.168.0.10,44582,192.168.3.10,80,tcp,3.00242,0,0,2025-09-15 10:11:13.603563070,2025-09-15 12:11:13.603563070,2025-09-15 12:11:14,TCPScanEvent,"1078,1079,1080,1081,1082,1083"
1757931073.603392,192.168.0.10,40938,192.168.3.10,22,tcp,3.003194,0,41,2025-09-15 10:11:13.603391886,2025-09-15 12:11:13.603391886,2025-09-15 12:11:14,TCPScanEvent,"1081,1082,1083"
1757931076.608373,192.168.0.10,44586,192.168.3.10,80,tcp,0.00091,517,406,2025-09-15 10:11:16.608372927,2025-09-15 12:11:16.608372927,2025-09-15 12:11:17,TCPScanEvent,"1078,1079,1080,1081,1082,1083"
1757931076.610201,192.168.0.10,44592,192.168.3.10,80,tcp,0.004621,144,281,2025-09-15 10:11:16.610200882,2025-09-15 12:11:16.610200882,2025-09-15 12:11:17,TCPScanEvent,"1078,1079,1080,1081,1082,1083"
1757931079.894988,192.168.0.10,47270,192.168.2.10,8000,tcp,0.000171,0,0,2025-09-15 10:11:19.894988060,2025-09-15 12:11:19.894988060,2025-09-15 12:11:20,benign,
1757931079.898648,192.168.0.10,47282,192.168.2.10,8000,tcp,0.000135,0,0,2025-09-15 10:11:19.898648024,2025-09-15 12:11:19.898648024,2025-09-15 12:11:20,benign,
1757931079.900674,192.168.0.10,47286,192.168.2.10,8000,tcp,0.000105,0,0,2025-09-15 10:11:19.900674105,2025-09-15 12:11:19.900674105,2025-09-15 12:11:20,benign,
1757931079.903048,192.168.0.10,45414,192.168.2.10,9600,tcp,0.000123,0,0,2025-09-15 10:11:19.903048038,2025-09-15 12:11:19.903048038,2025-09-15 12:11:20,benign,
1757931079.904975,192.168.0.10,45418,192.168.2.10,9600,tcp,0.000125,0,0,2025-09-15 10:11:19.904974937,2025-09-15 12:11:19.904974937,2025-09-15 12:11:20,benign,
1757931079.906734,192.168.0.10,45430,192.168.2.10,9600,tcp,0.000121,0,0,2025-09-15 10:11:19.906733990,2025-09-15 12:11:19.906733990,2025-09-15 12:11:20,benign,
1757931080.910999,192.168.0.10,32786,192.168.2.20,8000,tcp,0.000189,0,0,2025-09-15 10:11:20.910999060,2025-09-15 12:11:20.910999060,2025-09-15 12:11:21,benign,
1757931080.915332,192.168.0.10,32794,192.168.2.20,8000,tcp,0.000179,0,0,2025-09-15 10:11:20.915332079,2025-09-15 12:11:20.915332079,2025-09-15 12:11:21,benign,
1757931080.917823,192.168.0.10,32798,192.168.2.20,8000,tcp,0.000121,0,0,2025-09-15 10:11:20.917823076,2025-09-15 12:11:20.917823076,2025-09-15 12:11:21,benign,
1757931080.920702,192.168.0.10,39108,192.168.2.20,9600,tcp,0.000126,0,0,2025-09-15 10:11:20.920701981,2025-09-15 12:11:20.920701981,2025-09-15 12:11:21,benign,
1757931080.923142,192.168.0.10,39122,192.168.2.20,9600,tcp,0.000116,0,0,2025-09-15 10:11:20.923141956,2025-09-15 12:11:20.923141956,2025-09-15 12:11:21,benign,
1757931080.925343,192.168.0.10,39134,192.168.2.20,9600,tcp,0.000155,0,0,2025-09-15 10:11:20.925343037,2025-09-15 12:11:20.925343037,2025-09-15 12:11:21,benign,
1757931080.928504,192.168.0.10,52808,192.168.2.20,8080,tcp,0.003953,235,959,2025-09-15 10:11:20.928503990,2025-09-15 12:11:20.928503990,2025-09-15 12:11:21,log4shell_exploitation_log4shell-exploiter-_attack-t1203-_attack-t1110,"1036,1077"
1757931080.541596,192.168.0.10,42382,192.168.2.10,22,tcp,0.483594,15565832,51281,2025-09-15 10:11:20.541595936,2025-09-15 12:11:20.541595936,2025-09-15 12:11:21,ssh_exploitation_ssh-exploiter-_attack-t1021-_attack-t1105-_attack-t1222-_attack-t1059,"1075,1076"
1757931081.80361,192.168.2.10,49148,192.168.0.10,8080,tcp,0.0547,783,2128,2025-09-15 10:11:21.803610086,2025-09-15 12:11:21.803610086,2025-09-15 12:11:22,benign,
1757931081.802308,192.168.2.10,47088,192.168.0.11,5000,tcp,0.056583,783,2128,2025-09-15 10:11:21.802308083,2025-09-15 12:11:21.802308083,2025-09-15 12:11:22,benign,
1757931082.634888,192.168.0.10,55302,192.168.3.10,8000,tcp,0.000186,0,0,2025-09-15 10:11:22.634887934,2025-09-15 12:11:22.634887934,2025-09-15 12:11:23,benign,
1757931082.639212,192.168.0.10,55308,192.168.3.10,8000,tcp,0.000122,0,0,2025-09-15 10:11:22.639211893,2025-09-15 12:11:22.639211893,2025-09-15 12:11:23,benign,
1757931082.641581,192.168.0.10,55324,192.168.3.10,8000,tcp,0.000118,0,0,2025-09-15 10:11:22.641581059,2025-09-15 12:11:22.641581059,2025-09-15 12:11:23,benign,
1757931082.644535,192.168.0.10,60672,192.168.3.10,9600,tcp,0.000132,0,0,2025-09-15 10:11:22.644535065,2025-09-15 12:11:22.644535065,2025-09-15 12:11:23,benign,
1757931082.647306,192.168.0.10,60682,192.168.3.10,9600,tcp,0.000111,0,0,2025-09-15 10:11:22.647305965,2025-09-15 12:11:22.647305965,2025-09-15 12:11:23,benign,
1757931082.649788,192.168.0.10,60698,192.168.3.10,9600,tcp,0.000143,0,0,2025-09-15 10:11:22.649787903,2025-09-15 12:11:22.649787903,2025-09-15 12:11:23,benign,
1757931083.369878,192.168.0.10,46502,192.168.3.10,22,tcp,0.434773,15565832,51233,2025-09-15 10:11:23.369878054,2025-09-15 12:11:23.369878054,2025-09-15 12:11:23,ssh_exploitation_ssh-exploiter-_attack-t1021-_attack-t1105-_attack-t1222-_attack-t1059,"1057,1072"
1757931081.911116,192.168.2.10,49152,192.168.0.10,8080,tcp,2.69132,41,0,2025-09-15 10:11:21.911115885,2025-09-15 12:11:21.911115885,2025-09-15 12:11:22,benign,
1757931084.600755,192.168.3.10,40060,192.168.0.11,5000,tcp,0.049381,783,2128,2025-09-15 10:11:24.600754976,2025-09-15 12:11:24.600754976,2025-09-15 12:11:25,benign,
1757931084.602051,192.168.3.10,48038,192.168.0.10,8080,tcp,0.051996,783,2128,2025-09-15 10:11:24.602051020,2025-09-15 12:11:24.602051020,2025-09-15 12:11:25,benign,
1757931085.950005,192.168.0.10,33238,192.168.2.20,8080,tcp,0.003695,344,987,2025-09-15 10:11:25.950005054,2025-09-15 12:11:25.950005054,2025-09-15 12:11:26,log4shell_exploitation_log4shell-exploiter-_attack-t1203-_attack-t1110,"966,1036"
1757931086.027289,192.168.3.10,51034,192.168.2.20,22,tcp,0.000184,0,0,2025-09-15 10:11:26.027288914,2025-09-15 12:11:26.027288914,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.028099,192.168.3.10,35856,192.168.2.20,80,tcp,0.000151,0,0,2025-09-15 10:11:26.028099060,2025-09-15 12:11:26.028099060,2025-09-15 12:11:26,TCPScanEvent,"967,968,969,1017,1019"
1757931086.029159,192.168.3.10,47064,192.168.2.20,135,tcp,0.00023,0,0,2025-09-15 10:11:26.029159069,2025-09-15 12:11:26.029159069,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.029224,192.168.3.10,33694,192.168.2.20,443,tcp,0.000292,0,0,2025-09-15 10:11:26.029223919,2025-09-15 12:11:26.029223919,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.029567,192.168.3.10,54926,192.168.2.20,445,tcp,0.000132,0,0,2025-09-15 10:11:26.029567003,2025-09-15 12:11:26.029567003,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.029776,192.168.3.10,37700,192.168.2.20,2222,tcp,0.000115,0,0,2025-09-15 10:11:26.029776096,2025-09-15 12:11:26.029776096,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.03095,192.168.3.10,36328,192.168.2.20,3306,tcp,0.000111,0,0,2025-09-15 10:11:26.030950069,2025-09-15 12:11:26.030950069,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.031372,192.168.3.10,49526,192.168.2.20,3389,tcp,0.000126,0,0,2025-09-15 10:11:26.031372070,2025-09-15 12:11:26.031372070,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.031794,192.168.3.10,32962,192.168.2.20,5985,tcp,0.000102,0,0,2025-09-15 10:11:26.031794071,2025-09-15 12:11:26.031794071,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.032972,192.168.3.10,56982,192.168.2.20,5986,tcp,0.000158,0,0,2025-09-15 10:11:26.032972097,2025-09-15 12:11:26.032972097,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.033238,192.168.3.10,43952,192.168.2.20,7001,tcp,9.3e-05,0,0,2025-09-15 10:11:26.033237933,2025-09-15 12:11:26.033237933,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.033737,192.168.3.10,44622,192.168.2.20,8008,tcp,8.1e-05,0,0,2025-09-15 10:11:26.033736944,2025-09-15 12:11:26.033736944,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.033968,192.168.3.10,53414,192.168.2.20,8088,tcp,0.000183,0,0,2025-09-15 10:11:26.033967972,2025-09-15 12:11:26.033967972,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.034684,192.168.3.10,40772,192.168.2.20,8983,tcp,0.000169,0,0,2025-09-15 10:11:26.034683943,2025-09-15 12:11:26.034683943,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.072311,192.168.3.10,59596,192.168.2.10,135,tcp,0.000104,0,0,2025-09-15 10:11:26.072310925,2025-09-15 12:11:26.072310925,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
